|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||İstanbul-TR10|
||||
||0452101. (Doğal Gaz)|0.982|
||0722001. (Benzin)|4.4708|
||0830009. (İnternet Ücreti)|51.2278|
|09-Eylül|0441001. (Su Faturası)|3.74|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.9816|
||0722001. (Benzin)|4.585|
||0830009. (İnternet Ücreti)|51.2278|
|10-Ekim|0441001. (Su Faturası)|3.7848|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0765|
||0722001. (Benzin)|4.7898|
||0830009. (İnternet Ücreti)|51.2278|
|11-Kasım|0441001. (Su Faturası)|3.8604|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0778|
||0722001. (Benzin)|4.5906|
||0830009. (İnternet Ücreti)|51.2278|
|12-Aralık|0441001. (Su Faturası)|3.882|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0781|
||0722001. (Benzin)|4.6049|
||0830009. (İnternet Ücreti)|54.444|
2013|01-Ocak|0441001. (Su Faturası)|3.966|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0802|
||0722001. (Benzin)|4.68|
||0830009. (İnternet Ücreti)|58.5834|
|02-Şubat|0441001. (Su Faturası)|4.0308|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0801|
||0722001. (Benzin)|4.8419|
||0830009. (İnternet Ücreti)|58.5834|
|03-Mart|0441001. (Su Faturası)|4.0524|
||0451001. (Elektrik Ücreti)|0.357|
||0452101. (Doğal Gaz)|1.0798|
||0722001. (Benzin)|4.7592|
||0830009. (İnternet Ücreti)|58.5834|
|04-Nisan|0441001. (Su Faturası)|4.0848|
||0451001. (Elektrik Ücreti)|0.3587|
||0452101. (Doğal Gaz)|1.0797|
||0722001. (Benzin)|4.6313|
||0830009. (İnternet Ücreti)|58.5834|
|05-Mayıs|0441001. (Su Faturası)|4.1064|
||0451001. (Elektrik Ücreti)|0.3587|
||0452101. (Doğal Gaz)|1.0808|
||0722001. (Benzin)|4.6267|
||0830009. (İnternet Ücreti)|58.5834|
|06-Haziran|0441001. (Su Faturası)|4.1172|
||0451001. (Elektrik Ücreti)|0.3587|
||0452101. (Doğal Gaz)|1.0801|
||0722001. (Benzin)|4.7212|
||0830009. (İnternet Ücreti)|58.5834|
|07-Temmuz|0441001. (Su Faturası)|4.1496|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0814|
||0722001. (Benzin)|4.844|
||0830009. (İnternet Ücreti)|58.5834|
|08-Ağustos|0441001. (Su Faturası)|4.1712|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0834|
||0722001. (Benzin)|4.8675|
||0830009. (İnternet Ücreti)|58.5834|
|09-Eylül|0441001. (Su Faturası)|4.1712|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0848|
||0722001. (Benzin)|4.8815|
||0830009. (İnternet Ücreti)|58.5834|
|10-Ekim|0441001. (Su Faturası)|4.2036|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0848|
||0722001. (Benzin)|4.7979|
||0830009. (İnternet Ücreti)|58.5834|
|11-Kasım|0441001. (Su Faturası)|4.2792|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0861|
||0722001. (Benzin)|4.7931|
||0830009. (İnternet Ücreti)|58.5834|
|12-Aralık|0441001. (Su Faturası)|4.29|
||0451001. (Elektrik Ücreti)|0.3585|
